日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-03-27,002972,科安达,12.19,7.12%,8.02%,9,77.8%,3.31%,⭐⭐⭐,历史强势基因，重仓买入
2026-03-27,002068,黑猫股份,9.2,10.05%,7.2%,4,75.0%,4.62%,⭐⭐⭐,历史强势基因，重仓买入
2026-03-27,600063,皖维高新,6.9,4.39%,3.08%,10,70.0%,0.87%,⭐⭐⭐,概率占优，分批建仓
2026-03-27,603162,海通发展,13.31,1.14%,3.44%,15,60.0%,0.13%,⭐⭐⭐,概率占优，分批建仓
2026-03-27,603086,先达股份,7.45,3.19%,2.45%,15,60.0%,7.30%,⭐⭐⭐,概率占优，分批建仓
2026-03-27,600470,六国化工,7.43,10.07%,15.88%,10,55.6%,1.66%,⭐⭐⭐,概率占优，分批建仓
2026-03-27,002998,优彩资源,8.07,2.54%,2.09%,9,55.6%,-0.72%,⭐⭐⭐,概率占优，分批建仓
2026-03-27,000626,远大控股,8.35,2.96%,2.94%,14,50.0%,0.56%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-27,603032,德新科技,18.4,3.78%,2.71%,11,45.5%,-3.24%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-27,000505,京粮控股,6.92,3.75%,2.78%,15,42.9%,-0.54%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-27,601969,海南矿业,11.71,5.02%,2.24%,12,36.4%,-0.63%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-27,600838,上海九百,10.49,4.9%,5.1%,20,35.0%,-1.43%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-27,600281,华阳新材,5.46,3.61%,2.28%,20,25.0%,-2.93%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-27,600232,金鹰股份,7.92,2.99%,2.49%,5,20.0%,-4.14%,⭐⭐⭐,历史表现平平，轻仓试错
