日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-03-25,600126,杭钢股份,8.63,5.76%,5.08%,10,70.0%,14.04%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-03-25,603269,海鸥股份,14.5,2.26%,6.08%,17,64.7%,7.62%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-03-25,600128,苏豪弘业,10.75,2.67%,2.16%,14,64.3%,4.88%,⭐⭐⭐,概率占优，分批建仓
2026-03-25,002177,御银股份,7.79,1.17%,9.28%,20,60.0%,5.22%,⭐⭐⭐,概率占优，分批建仓
2026-03-25,600172,黄河旋风,8.36,2.33%,9.33%,15,60.0%,11.47%,⭐⭐⭐,概率占优，分批建仓
2026-03-25,601611,中国核建,14.94,2.89%,2.68%,12,58.3%,2.36%,⭐⭐⭐,概率占优，分批建仓
2026-03-25,600470,六国化工,6.97,0.72%,9.25%,9,55.6%,1.66%,⭐⭐⭐,概率占优，分批建仓
2026-03-25,605007,五洲特纸,14.02,1.3%,1.63%,12,50.0%,3.69%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,600888,新疆众和,8.25,3.12%,2.78%,8,50.0%,-0.27%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,600268,国电南自,14.28,2.37%,3.72%,6,50.0%,1.02%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,603209,兴通股份,14.78,1.93%,1.47%,10,50.0%,0.92%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,002248,华东数控,12.33,0.74%,4.43%,20,50.0%,1.42%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,002734,利民股份,17.74,2.25%,4.74%,11,45.5%,3.48%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,601068,中铝国际,5.76,3.41%,0.78%,11,45.5%,0.92%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,600313,农发种业,7.9,4.91%,7.51%,10,44.4%,-2.00%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,000505,京粮控股,6.71,1.82%,1.99%,14,42.9%,-0.54%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,601969,海南矿业,11.49,1.41%,1.82%,12,41.7%,-0.27%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,603429,集友股份,8.49,4.94%,2.25%,5,40.0%,-2.15%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,002537,海联金汇,7.96,3.38%,4.79%,11,36.4%,-3.26%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,002383,合众思壮,9.65,1.37%,1.99%,12,33.3%,-3.72%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,002877,智能自控,8.83,1.15%,4.69%,10,20.0%,-6.40%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,601700,风范股份,5.72,3.25%,2.61%,5,100.0%,7.03%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
